day,site,new_customer,platform,visits,distinct_sessions,orders,gross_sales,bounces,add_to_cart,product_page_views,search_page_views,conversion_rate,bounce_rate,add_to_cart_rate
1/1/2013 0:00,Acme,1,Android,24,16,14,1287,4,16,104,192,0.583333333,0.166666667,0.666666667
1/1/2013 0:00,Acme,1,BlackBerry,0,0,0,13,0,0,1,0, , , 
1/1/2013 0:00,Sortly,1,iPad,0,0,0,98,0,0,0,0, , , 
1/1/2013 0:00,Acme,1,Windows,922,520,527,60753,149,610,3914,7367,0.571583514,0.161605206,0.661605206
1/1/2013 0:00,Botly,1,Android,11,10,11,1090,0,11,4,19,1,0,1
1/1/2013 0:00,Acme,1,Macintosh,384,214,213,28129,65,245,1783,3255,0.5546875,0.169270833,0.638020833
1/1/2013 0:00,Sortly,1,Android,14,10,4,432,4,7,33,52,0.285714286,0.285714286,0.5
1/1/2013 0:00,Sortly,1,Windows,1,0,0,31,0,0,2,2,0,0,0
1/1/2013 0:00,Acme,0,Linux,41,27,6,705,6,12,130,272,0.146341463,0.146341463,0.292682927
1/1/2013 0:00,Acme,0,iPhone,448,368,36,4637,80,79,722,1073,0.080357143,0.178571429,0.176339286
1/1/2013 0:00,Widgetry,1,iPhone,15,14,15,1813,0,15,230,216,1,0,1
1/1/2013 0:00,Acme,,Windows,58192,46312,0,,23664,2285,104651,258511,0,0.406653836,0.039266566
1/1/2013 0:00,Sortly,1,Other,0,0,0,,0,0,4,2, , , 
1/1/2013 0:00,Tabular,1,iPad,22,21,22,3378,0,22,0,0,1,0,1
1/1/2013 0:00,Sortly,1,Macintosh,0,0,0,13,0,0,3,1, , , 
1/1/2013 0:00,Acme,,Android,4942,4290,0,,1751,110,5750,14185,0,0.354309996,0.022258195
1/1/2013 0:00,Acme,,BlackBerry,111,94,0,,55,3,111,198,0,0.495495495,0.027027027
1/1/2013 0:00,Pinnacle,,Linux,7,4,0,,5,0,8,10,0,0.714285714,0
1/1/2013 0:00,Pinnacle,0,Macintosh,56,45,5,1563,17,11,120,232,0.089285714,0.303571429,0.196428571
1/1/2013 0:00,Botly,0,Android,20,19,20,2405,0,20,0,0,1,0,1
1/1/2013 0:00,Widgetry,0,iPhone,113,109,113,15320,0,113,1729,1466,1,0,1
1/1/2013 0:00,Pinnacle,,BlackBerry,4,2,0,,2,0,4,4,0,0.5,0
1/1/2013 0:00,Acme,,Linux,984,886,0,,777,10,1078,1840,0,0.789634146,0.010162602
1/1/2013 0:00,Pinnacle,,iPhone,282,239,0,,155,6,292,297,0,0.54964539,0.021276596
1/1/2013 0:00,Acme,,SymbianOS,4,3,0,,2,0,3,4,0,0.5,0
1/1/2013 0:00,Sortly,,Android,1676,1301,0,,952,50,2291,4465,0,0.568019093,0.029832936
1/1/2013 0:00,Sortly,0,Linux,0,0,0,,0,0,0,0, , , 
1/1/2013 0:00,Sortly,0,iPhone,406,317,53,6480,87,119,697,922,0.130541872,0.214285714,0.293103448
1/1/2013 0:00,Pinnacle,,Macintosh,558,433,0,,263,17,731,1202,0,0.471326165,0.03046595
1/1/2013 0:00,Acme,,Macintosh,26437,18922,0,,12039,1206,49492,114557,0,0.455384499,0.045617884
1/1/2013 0:00,Pinnacle,1,Android,0,0,0,,0,0,1,2, , , 
1/1/2013 0:00,Sortly,,Windows,16,14,0,,10,1,27,15,0,0.625,0.0625
1/1/2013 0:00,Acme,,iPad,20171,15708,0,,6694,914,37106,71190,0,0.331862575,0.045312577
1/1/2013 0:00,Acme,0,iPad,2843,1984,470,75880,508,879,10803,17325,0.165318326,0.178684488,0.309180443
1/1/2013 0:00,Pinnacle,1,iPhone,1,0,1,244,0,1,1,1,1,0,1
1/1/2013 0:00,Sortly,0,Macintosh,1,0,0,64,0,0,5,7,0,0,0
